order,family,genus,species,Leaf_Area,Nmass,LMA,Plant_height,Diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Asterales,Asteraceae,Hieracium,Hieracium umbellatum,737.05,23.29357944,48.90264277,0.456239869,0.3877,0.3251,NA,NA,0.3251
Asterales,Asteraceae,Hieracium,Hieracium longipilum,NA,10.3,66,NA,0.31,NA,NA,NA,NA
Poales,Poaceae,Anthoxanthum,Anthoxanthum nitens,33,NA,24.09058058,0.350568382,1.1152,NA,0.19,0.17141,0.17141
Gentianales,Rubiaceae,Houstonia,Houstonia longifolia,61.89,NA,46.44868643,0.11874521,NA,NA,0.194678885,0.197881735,0.197881735
Malpighiales,Hypericaceae,Hypericum,Hypericum majus,NA,NA,NA,0.7,0.01,NA,NA,NA,NA
Asparagales,Hypoxidaceae,Hypoxis,Hypoxis hirsuta,NA,NA,NA,0.22,0.3313,NA,NA,NA,NA
Aquifoliales,Aquifoliaceae,Ilex,Ilex verticillata,2020,21.58571231,71.28199975,3.898717738,11.5157,NA,NA,NA,NA
Ericales,Balsaminaceae,Impatiens,Impatiens capensis,1858.38,24.76651771,19.52264478,1.304910592,5.8343,NA,0.096677243,0.146528876,0.146528876
Asparagales,Iridaceae,Iris,Iris versicolor,5531.03,20,55.19230823,0.694508509,15.5066,NA,NA,NA,NA
Poales,Juncaceae,Juncus,Juncus tenuis,276.5,14.2,71.74720755,0.3206202,0.0135,NA,0.2019715,0.182040692,0.182040692
Pinales,Cupressaceae,Juniperus,Juniperus communis,20.68,11.44467354,113.2400577,3.041436552,11.7085,0.561974324,NA,NA,0.561974324
Pinales,Cupressaceae,Juniperus,Juniperus virginiana,28.57,14.71820742,559.5554082,22.42151877,11.0504,0.49,NA,NA,0.49
Poales,Poaceae,Koeleria,Koeleria micrathera,308.34,12.67224128,104.661262,0.264007576,0.1973,NA,NA,NA,NA
Asterales,Asteraceae,Krigia,Krigia biflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Asterales,Asteraceae,Lactuca,Lactuca biennis,2425.45,13.4,18.20305085,1.37,0.91,NA,NA,NA,NA
Asterales,Asteraceae,Lactuca,Lactuca canadensis,2432.97,22.23,33.95850155,1.473237414,NA,NA,0.181660881,0.191060302,0.191060302
