"","Year","Plot","Treatment","Functional.group","Mass.g.m.2."
"127",2007,20,"AllPesticides","C3",0
"128",2007,20,"AllPesticides","F",0.4
"129",2007,20,"AllPesticides","L",73.9
"130",2007,20,"AllPesticides","C4",65.7
"131",2007,20,"AllPesticides","W",0
"132",2007,20,"AllPesticides","moss_lichen",0
"133",2007,20,"AllPesticides","moss",0
"134",2007,21,"FoliarFungicide","C3",9
"135",2007,21,"FoliarFungicide","F",3.1
"136",2007,21,"FoliarFungicide","L",25.6
"137",2007,21,"FoliarFungicide","C4",45.1
"138",2007,21,"FoliarFungicide","W",0
"139",2007,21,"FoliarFungicide","moss_lichen",0
"140",2007,21,"FoliarFungicide","moss",0
"141",2007,22,"SoilDrenchFungicide","C3",0.1
"142",2007,22,"SoilDrenchFungicide","F",37.5
"143",2007,22,"SoilDrenchFungicide","L",43.5
"144",2007,22,"SoilDrenchFungicide","C4",96.8
"145",2007,22,"SoilDrenchFungicide","W",0
"146",2007,22,"SoilDrenchFungicide","moss_lichen",0
"147",2007,22,"SoilDrenchFungicide","moss",0
"148",2007,23,"AllPesticides","C3",19.5
"149",2007,23,"AllPesticides","F",0
"150",2007,23,"AllPesticides","L",53.5
"151",2007,23,"AllPesticides","C4",227.4
"152",2007,23,"AllPesticides","W",0
"153",2007,23,"AllPesticides","moss_lichen",0
"154",2007,23,"AllPesticides","moss",0
"155",2007,24,"Control","C3",19.5
"156",2007,24,"Control","F",2.5
"157",2007,24,"Control","L",31.2
"158",2007,24,"Control","C4",103.3
"159",2007,24,"Control","W",0
"160",2007,24,"Control","moss_lichen",0
"161",2007,24,"Control","moss",0
"162",2007,25,"Insecticide","C3",2.4
"163",2007,25,"Insecticide","F",5.5
"164",2007,25,"Insecticide","L",14.9
"165",2007,25,"Insecticide","C4",78.8
"166",2007,25,"Insecticide","W",0
"167",2007,25,"Insecticide","moss_lichen",0
"168",2007,25,"Insecticide","moss",0
"169",2007,26,"AllPesticides","C3",0
"170",2007,26,"AllPesticides","F",0
"171",2007,26,"AllPesticides","L",26.9
"172",2007,26,"AllPesticides","C4",0
"173",2007,26,"AllPesticides","W",0
"174",2007,26,"AllPesticides","moss_lichen",0
"175",2007,26,"AllPesticides","moss",0
"176",2007,27,"SoilDrenchFungicide","C3",0
"177",2007,27,"SoilDrenchFungicide","F",0
"178",2007,27,"SoilDrenchFungicide","L",59
"179",2007,27,"SoilDrenchFungicide","C4",0
"180",2007,27,"SoilDrenchFungicide","W",0
"181",2007,27,"SoilDrenchFungicide","moss_lichen",0
"182",2007,27,"SoilDrenchFungicide","moss",0
"183",2007,28,"Insecticide","C3",0
"184",2007,28,"Insecticide","F",0
"185",2007,28,"Insecticide","L",14.1
"186",2007,28,"Insecticide","C4",0
"187",2007,28,"Insecticide","W",0
"188",2007,28,"Insecticide","moss_lichen",0
"189",2007,28,"Insecticide","moss",0
"190",2007,29,"Control","C3",0
"191",2007,29,"Control","F",0
"192",2007,29,"Control","L",17.1
"193",2007,29,"Control","C4",0
"194",2007,29,"Control","W",0
"195",2007,29,"Control","moss_lichen",0
"196",2007,29,"Control","moss",0
"197",2007,30,"FoliarFungicide","C3",0
"198",2007,30,"FoliarFungicide","F",0
"199",2007,30,"FoliarFungicide","L",10
"200",2007,30,"FoliarFungicide","C4",0
"201",2007,30,"FoliarFungicide","W",0
"202",2007,30,"FoliarFungicide","moss_lichen",0
"203",2007,30,"FoliarFungicide","moss",0
"204",2007,31,"SoilDrenchFungicide","C3",0
"205",2007,31,"SoilDrenchFungicide","F",0
"206",2007,31,"SoilDrenchFungicide","L",9.1
"207",2007,31,"SoilDrenchFungicide","C4",55.8
"208",2007,31,"SoilDrenchFungicide","W",0
"209",2007,31,"SoilDrenchFungicide","moss_lichen",0
"210",2007,31,"SoilDrenchFungicide","moss",0
"211",2007,32,"Control","C3",0
"212",2007,32,"Control","F",8.8
"213",2007,32,"Control","L",50.7
"214",2007,32,"Control","C4",70.9
"215",2007,32,"Control","W",0
"216",2007,32,"Control","moss_lichen",0
"217",2007,32,"Control","moss",0
"218",2007,33,"FoliarFungicide","C3",3.5
"219",2007,33,"FoliarFungicide","F",59.6
"220",2007,33,"FoliarFungicide","L",111.3
"221",2007,33,"FoliarFungicide","C4",84.1
"222",2007,33,"FoliarFungicide","W",0
"223",2007,33,"FoliarFungicide","moss_lichen",0
"224",2007,33,"FoliarFungicide","moss",0
"225",2007,34,"AllPesticides","C3",0.1
"226",2007,34,"AllPesticides","F",0
"227",2007,34,"AllPesticides","L",19.8
"228",2007,34,"AllPesticides","C4",138.8
"229",2007,34,"AllPesticides","W",0
"230",2007,34,"AllPesticides","moss_lichen",0
"231",2007,34,"AllPesticides","moss",0
"232",2007,35,"Insecticide","C3",0
"233",2007,35,"Insecticide","F",108.1
"234",2007,35,"Insecticide","L",54.8
"235",2007,35,"Insecticide","C4",126.5
"236",2007,35,"Insecticide","W",0
"237",2007,35,"Insecticide","moss_lichen",0
"238",2007,35,"Insecticide","moss",0
"239",2007,36,"AllPesticides","C3",11.7
"240",2007,36,"AllPesticides","F",0
"241",2007,36,"AllPesticides","L",308.6
"242",2007,36,"AllPesticides","C4",112.5
"243",2007,36,"AllPesticides","W",0
"244",2007,36,"AllPesticides","moss_lichen",0
"245",2007,36,"AllPesticides","moss",0
"246",2007,37,"Control","C3",23.2
"247",2007,37,"Control","F",0
"248",2007,37,"Control","L",95.9
"249",2007,37,"Control","C4",109.7
"250",2007,37,"Control","W",0
"251",2007,37,"Control","moss_lichen",0
"252",2007,37,"Control","moss",0
