"","Species_Diaz","Species","contrast","estimate","SE","df","t.ratio","p.value","exp","Functional.group","Treatment","Leaf_Area","Nmass","LMA","Plant_height","Diaspore_mass","LDMC"
"112","Lithospermum canescens","Lithospermum canescens","Control - AllPesticides",0.16692585499739,0.169904153034261,30.0000000000019,-0.98247071667359,0.919956220650703,"Oldfield experiment","F","AllPesticides",296.88,15.03855533,72.17986474,0.5,2.81,NA
"113","Lithospermum canescens","Lithospermum canescens","Control - Fenced",0.237990836461412,0.176569575283378,30.0000000000008,-1.34785869014782,0.756459233047659,"Oldfield experiment","F","Fenced",296.88,15.03855533,72.17986474,0.5,2.81,NA
"114","Lithospermum canescens","Lithospermum canescens","Control - FoliarFungicide",0.199978433617243,0.164978344916932,30.0000000000016,-1.21214959283253,0.827526511293028,"Oldfield experiment","F","FoliarFungicide",296.88,15.03855533,72.17986474,0.5,2.81,NA
"115","Lithospermum canescens","Lithospermum canescens","Control - SoilDrenchFungicide",0.27976185610057,0.169904153034261,30.0000000000015,-1.64658633179,0.575707968108211,"Oldfield experiment","F","SoilDrenchFungicide",296.88,15.03855533,72.17986474,0.5,2.81,NA
"116","Lithospermum caroliniense","Lithospermum caroliniense","Control - FoliarFungicide",0.03238727316162,0.13221172509103,38.9999999999983,-0.244965211211948,0.999869431389424,"Oldfield experiment","F","FoliarFungicide",205.93,17.33330995,73.11348753,0.447213595,5.65,NA
"117","Lithospermum caroliniense","Lithospermum caroliniense","Control - Insecticide",-0.0682345370140688,0.13221172509103,38.9999999999981,0.516100496889276,0.995226726962581,"Oldfield experiment","F","Insecticide",205.93,17.33330995,73.11348753,0.447213595,5.65,NA
"118","Lithospermum caroliniense","Lithospermum caroliniense","Control - AllPesticides",-0.203868192105594,0.13221172509103,38.9999999999979,1.54198269453959,0.64008270023671,"Oldfield experiment","F","AllPesticides",205.93,17.33330995,73.11348753,0.447213595,5.65,NA
"119","Lithospermum caroliniense","Lithospermum caroliniense","Control - Fenced",-0.0497788485543844,0.136547682520243,38.9999999999962,0.364552862674948,0.999089064528911,"Oldfield experiment","F","Fenced",205.93,17.33330995,73.11348753,0.447213595,5.65,NA
"120","Lithospermum caroliniense","Lithospermum caroliniense","Control - SoilDrenchFungicide",0.02250292527693,0.136547682520243,38.9999999999965,-0.164799027428342,0.999981635087474,"Oldfield experiment","F","SoilDrenchFungicide",205.93,17.33330995,73.11348753,0.447213595,5.65,NA
"121","Lupinus perennis","Lupinus perennis","Control - Insecticide",0.0657268863792404,0.125946523461193,79.999999999994,-0.521863443094501,0.984902973839519,"Biodiversity experiment","L","Insecticide",230.63,26.49842858,55.01359783,0.300262169,22.0805,0.140279356
"122","Lupinus perennis","Lupinus perennis","Control - FoliarFungicide",0.499462365134012,0.125946523461193,79.9999999999936,-3.96567012258905,0.00145479252117608,"Biodiversity experiment","L","FoliarFungicide",230.63,26.49842858,55.01359783,0.300262169,22.0805,0.140279356
"123","Lupinus perennis","Lupinus perennis","Control - SoilDrenchFungicide",0.0640087028083531,0.125946523461193,79.9999999999944,-0.508221275580312,0.986329181790797,"Biodiversity experiment","L","SoilDrenchFungicide",230.63,26.49842858,55.01359783,0.300262169,22.0805,0.140279356
"124","Lupinus perennis","Lupinus perennis","Control - AllPesticides",0.579797848075842,0.125946523461193,79.9999999999931,-4.60352403656852,0.000147410885412813,"Biodiversity experiment","L","AllPesticides",230.63,26.49842858,55.01359783,0.300262169,22.0805,0.140279356
"125","Monarda fistulosa","Monarda fistulosa","Control - Insecticide",0.123613002209183,0.213568439227777,39.9999999999977,-0.578798078293516,0.977451035784989,"Biodiversity experiment","F","Insecticide",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"126","Monarda fistulosa","Monarda fistulosa","Control - AllPesticides",0.288179402104407,0.572228963182819,7.99999999999996,-0.503608556444805,0.994550070280977,"Oldfield experiment","F","AllPesticides",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"127","Monarda fistulosa","Monarda fistulosa","Control - Insecticide",0.531534552980012,0.572228963182821,7.99999999999998,-0.928884392749958,0.927940300496752,"Oldfield experiment","F","Insecticide",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"128","Monarda fistulosa","Monarda fistulosa","Control - AllPesticides",0.0518314739165323,0.240879149841836,39.9999999999995,-0.215176257266623,0.999501970085876,"Biodiversity experiment","F","AllPesticides",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"129","Monarda fistulosa","Monarda fistulosa","Control - FoliarFungicide",0.381118664366094,0.218594266594981,39.9999999999984,-1.74349798968993,0.419962135950327,"Biodiversity experiment","F","FoliarFungicide",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"130","Monarda fistulosa","Monarda fistulosa","Control - SoilDrenchFungicide",0.00395365732821777,0.240879149841836,39.9999999999992,-0.016413447701114,0.999999982737102,"Biodiversity experiment","F","SoilDrenchFungicide",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"131","Monarda fistulosa","Monarda fistulosa","Control - Fenced",-0.0930163761609152,0.626845422386049,7.99999999999994,0.148388060021008,0.999985191659113,"Oldfield experiment","F","Fenced",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"132","Monarda fistulosa","Monarda fistulosa","Control - FoliarFungicide",0.0361989301772755,0.626845422386048,7.99999999999988,-0.0577477778165573,0.999999865572337,"Oldfield experiment","F","FoliarFungicide",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"133","Monarda fistulosa","Monarda fistulosa","Control - SoilDrenchFungicide",-0.0921389925095823,0.626845422386049,7.99999999999992,0.146988378983228,0.999985871769566,"Oldfield experiment","F","SoilDrenchFungicide",847.75,13.25247314,50.39269273,0.926046012,0.35,0.245561602
"134","Panicum perlongum","Panicum perlongum","Control - Fenced",0.0309157274230219,0.243748752945866,36.0000000000008,-0.126834402430308,0.999994969447942,"Oldfield experiment","C3","Fenced",409.77,14.9180952,65.85552853,0.22,NA,NA
"135","Panicum perlongum","Panicum perlongum","Control - AllPesticides",-0.250748390810419,0.226749839085684,36.0000000000024,1.10583712791817,0.875750319094792,"Oldfield experiment","C3","AllPesticides",409.77,14.9180952,65.85552853,0.22,NA,NA
"136","Panicum perlongum","Panicum perlongum","Control - Insecticide",0.106050458458505,0.226749839085684,36.0000000000016,-0.467698053882325,0.996977909070553,"Oldfield experiment","C3","Insecticide",409.77,14.9180952,65.85552853,0.22,NA,NA
"137","Panicum perlongum","Panicum perlongum","Control - FoliarFungicide",-0.00795691564319145,0.243748752945867,36.0000000000008,0.0326439234951023,0.999999994264579,"Oldfield experiment","C3","FoliarFungicide",409.77,14.9180952,65.85552853,0.22,NA,NA
"138","Panicum perlongum","Panicum perlongum","Control - SoilDrenchFungicide",0.174280939733545,0.234186226809084,36.000000000002,-0.744198077351597,0.97483659958281,"Oldfield experiment","C3","SoilDrenchFungicide",409.77,14.9180952,65.85552853,0.22,NA,NA
"139","Panicum praecocious","Panicum praecocious","Control - Insecticide",0.167760545369153,0.294641229008998,2.99999999999999,-0.569372269907377,0.60894478922051,"Oldfield experiment","C3","Insecticide",NA,NA,NA,NA,NA,NA
"140","Panicum virgatum","Panicum virgatum","Control - AllPesticides",-0.0192594910538948,0.23657707590902,79.0000000000012,0.0814089487744846,0.999989829998841,"Biodiversity experiment","C4","AllPesticides",880.64,12.42400252,71.48259417,0.58760891,1.0456,NA
"141","Panicum virgatum","Panicum virgatum","Control - FoliarFungicide",-0.0280628019295825,0.239829147051909,79.0000000000037,0.117011640472159,0.999956744050203,"Biodiversity experiment","C4","FoliarFungicide",880.64,12.42400252,71.48259417,0.58760891,1.0456,NA
"142","Panicum virgatum","Panicum virgatum","Control - SoilDrenchFungicide",0.036467829000777,0.243435802773294,79.0000000000033,-0.149804706560516,0.999884289874863,"Biodiversity experiment","C4","SoilDrenchFungicide",880.64,12.42400252,71.48259417,0.58760891,1.0456,NA
"143","Panicum virgatum","Panicum virgatum","Control - Insecticide",0.0562708662942894,0.239829147051909,79.000000000007,-0.234628972274625,0.999314706084843,"Biodiversity experiment","C4","Insecticide",880.64,12.42400252,71.48259417,0.58760891,1.0456,NA
"144","Penstemon gracilis","Penstemon gracilis",NA,NA,NA,NA,NA,NA,"Oldfield experiment","F",NA,NA,NA,NA,NA,0.06,NA
"145","Petalostemum candidum","Petalostemum candidum","Control - Insecticide",0.206924624155892,0.226102030178076,19.0000000000005,-0.915182512925337,0.887541608015176,"Biodiversity experiment","L","Insecticide",NA,NA,NA,NA,NA,NA
"146","Petalostemum candidum","Petalostemum candidum","Control - FoliarFungicide",0.443318389832439,0.212102505135065,19.000000000001,-2.09011387937232,0.26442946058749,"Biodiversity experiment","L","FoliarFungicide",NA,NA,NA,NA,NA,NA
"147","Petalostemum candidum","Petalostemum candidum","Control - SoilDrenchFungicide",0.33405361849214,0.212102505135065,19.000000000001,-1.57496309758066,0.529883250774024,"Biodiversity experiment","L","SoilDrenchFungicide",NA,NA,NA,NA,NA,NA
"148","Petalostemum candidum","Petalostemum candidum","Control - AllPesticides",-0.0134007927941392,0.226102030178076,19.0000000000003,0.0592687857936738,0.999996916148409,"Biodiversity experiment","L","AllPesticides",NA,NA,NA,NA,NA,NA
"149","Physalis virginiana","Physalis virginiana","Control - AllPesticides",-5.74868042208798e-05,0.166213200192397,21.0000000000016,0.000345861845836172,1,"Oldfield experiment","F","AllPesticides",378.87,16.6466712,43.26441392,0.21,1.53,NA
"150","Physalis virginiana","Physalis virginiana","Control - Fenced",-0.0396773922728997,0.177891190381622,21.0000000000015,0.223043042141557,0.999402570294254,"Oldfield experiment","F","Fenced",378.87,16.6466712,43.26441392,0.21,1.53,NA
"151","Physalis virginiana","Physalis virginiana","Control - Insecticide",-0.0615683673200165,0.177891190381622,21.0000000000017,0.34610127228862,0.996666937959518,"Oldfield experiment","F","Insecticide",378.87,16.6466712,43.26441392,0.21,1.53,NA
"152","Physalis virginiana","Physalis virginiana","Control - FoliarFungicide",0.0630170347863686,0.177891190381622,21.0000000000017,-0.354244831636581,0.996353369512288,"Oldfield experiment","F","FoliarFungicide",378.87,16.6466712,43.26441392,0.21,1.53,NA
"153","Poa pratensis","Poa pratensis","Control - FoliarFungicide",0.359588764910571,0.170727545093493,100.000000000001,-2.10621411274703,0.225596099956622,"Biodiversity experiment","C3","FoliarFungicide",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"154","Poa pratensis","Poa pratensis","Control - Insecticide",-0.0358427778924669,0.170727545093493,100,0.209941388619152,0.99956055411817,"Biodiversity experiment","C3","Insecticide",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"155","Poa pratensis","Poa pratensis","Control - AllPesticides",0.0101518774635039,0.170727545093493,100.000000000001,-0.0594624461913548,0.999997115893023,"Biodiversity experiment","C3","AllPesticides",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"156","Poa pratensis","Poa pratensis","Control - FoliarFungicide",0.147831454107372,0.225449333325959,42.0000000000026,-0.655719189435946,0.985746252801448,"Oldfield experiment","C3","FoliarFungicide",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"157","Poa pratensis","Poa pratensis","Control - SoilDrenchFungicide",0.112199277297376,0.170727545093493,99.9999999999993,-0.657183216896451,0.964908828919986,"Biodiversity experiment","C3","SoilDrenchFungicide",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"158","Poa pratensis","Poa pratensis","Control - AllPesticides",0.143036550476002,0.225449333325959,42.0000000000028,-0.634450980031051,0.987713838752233,"Oldfield experiment","C3","AllPesticides",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"159","Poa pratensis","Poa pratensis","Control - Fenced",0.233556117377159,0.225449333325959,42.0000000000029,-1.03595834120068,0.903017387920417,"Oldfield experiment","C3","Fenced",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"160","Poa pratensis","Poa pratensis","Control - SoilDrenchFungicide",0.115524394929214,0.225449333325959,42.0000000000026,-0.512418436661273,0.995407842475306,"Oldfield experiment","C3","SoilDrenchFungicide",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"161","Poa pratensis","Poa pratensis","Control - Insecticide",-0.0548766093288196,0.225449333325959,42.0000000000027,0.243409942798447,0.999874239598841,"Oldfield experiment","C3","Insecticide",441.04,17.38246583,47.78219052,0.366927341,0.255,NA
"162","Polygala polygama","Polygala polygama","Control - FoliarFungicide",0.297226042093512,0.136293162065489,38.0000000000001,-2.18078469667242,0.2702340872714,"Oldfield experiment","F","FoliarFungicide",36,18.3,55.55555556,0.194935887,1.64,0.22
"163","Polygala polygama","Polygala polygama","Control - SoilDrenchFungicide",0.098178923666969,0.136293162065489,38.000000000001,-0.720351059283475,0.978239427247629,"Oldfield experiment","F","SoilDrenchFungicide",36,18.3,55.55555556,0.194935887,1.64,0.22
"164","Polygala polygama","Polygala polygama","Control - Insecticide",0.272837843177389,0.136293162065489,38.0000000000012,-2.00184542674482,0.360211535529873,"Oldfield experiment","F","Insecticide",36,18.3,55.55555556,0.194935887,1.64,0.22
"165","Polygala polygama","Polygala polygama","Control - AllPesticides",0.139965269537145,0.131671703961363,37.9999999999993,-1.06298669589797,0.892801706172516,"Oldfield experiment","F","AllPesticides",36,18.3,55.55555556,0.194935887,1.64,0.22
"166","Polygala polygama","Polygala polygama","Control - Fenced",-0.0309882039258336,0.136293162065489,38.0000000000007,0.227364333296074,0.999909392555626,"Oldfield experiment","F","Fenced",36,18.3,55.55555556,0.194935887,1.64,0.22
"167","Rhus glabra","Rhus glabra",NA,NA,NA,NA,NA,NA,"Oldfield experiment","W",NA,7137.6,17.72816213,67.54501045,2.847025404,8.3723,NA
"168","Rosa arkansana","Rosa arkansana",NA,NA,NA,NA,NA,NA,"Oldfield experiment","W",NA,1083.63,17.30560603,53.10684176,0.31,12.6397,NA
"169","Rumex acetosella","Rumex acetosella","Control - Insecticide",0.0509603373655466,0.243745724753432,15.9999999999998,-0.209071717738217,0.999932691893169,"Oldfield experiment","F","Insecticide",161.17,30.12281595,45.38463706,0.179058268,0.4017,NA
"170","Rumex acetosella","Rumex acetosella","Control - AllPesticides",0.149386798881278,0.223894744736544,15.9999999999997,-0.667218871336444,0.983179822569988,"Oldfield experiment","F","AllPesticides",161.17,30.12281595,45.38463706,0.179058268,0.4017,NA
"171","Rumex acetosella","Rumex acetosella","Control - Fenced",0.0683053495745466,0.243745724753432,15.9999999999997,-0.280231990299083,0.999716034058677,"Oldfield experiment","F","Fenced",161.17,30.12281595,45.38463706,0.179058268,0.4017,NA
"172","Rumex acetosella","Rumex acetosella","Control - FoliarFungicide",0.0293475013468153,0.223894744736543,15.9999999999997,-0.131077222832311,0.999993353618498,"Oldfield experiment","F","FoliarFungicide",161.17,30.12281595,45.38463706,0.179058268,0.4017,NA
"173","Rumex acetosella","Rumex acetosella","Control - SoilDrenchFungicide",-0.0656719041992914,0.243745724753432,15.9999999999997,0.269427922338838,0.999765713366271,"Oldfield experiment","F","SoilDrenchFungicide",161.17,30.12281595,45.38463706,0.179058268,0.4017,NA
"174","Schizachyrium scoparium","Schizachyrium scoparium","Control - AllPesticides",0.0362071907414845,0.189512258063192,85.0000000000011,-0.191054610986754,0.999696483486341,"Biodiversity experiment","C4","AllPesticides",570.95,11.98549732,54.25384034,0.769662042,0.7902,NA
"175","Schizachyrium scoparium","Schizachyrium scoparium","Control - Insecticide",0.0350727948396501,0.189512258063192,85.0000000000006,-0.185068740133714,0.999732477222522,"Biodiversity experiment","C4","Insecticide",570.95,11.98549732,54.25384034,0.769662042,0.7902,NA
"176","Schizachyrium scoparium","Schizachyrium scoparium","Control - FoliarFungicide",-0.10310052092548,0.189512258063192,85.0000000000006,0.544030882113716,0.982388367627402,"Biodiversity experiment","C4","FoliarFungicide",570.95,11.98549732,54.25384034,0.769662042,0.7902,NA
"177","Schizachyrium scoparium","Schizachyrium scoparium","Control - SoilDrenchFungicide",-0.0459561793845995,0.189512258063192,85.0000000000006,0.242497133717206,0.999220769495245,"Biodiversity experiment","C4","SoilDrenchFungicide",570.95,11.98549732,54.25384034,0.769662042,0.7902,NA
"178","Sisyrinchium campestre","Sisyrinchium campestre","Control - SoilDrenchFungicide",-0.301669427386934,0.36695849364186,13.9999999999997,0.822080514864316,0.919404977571818,"Oldfield experiment","F","SoilDrenchFungicide",369.02,11.81392914,86.53689672,NA,0.46,NA
"179","Sisyrinchium campestre","Sisyrinchium campestre","Control - AllPesticides",0.103506434978894,0.355306033656071,13.9999999999996,-0.291316288422746,0.998227109455198,"Oldfield experiment","F","AllPesticides",369.02,11.81392914,86.53689672,NA,0.46,NA
"180","Sisyrinchium campestre","Sisyrinchium campestre","Control - Insecticide",-0.160133273846283,0.410272068352061,13.9999999999997,0.390309958193084,0.994509274316212,"Oldfield experiment","F","Insecticide",369.02,11.81392914,86.53689672,NA,0.46,NA
"181","Sisyrinchium campestre","Sisyrinchium campestre","Control - FoliarFungicide",0.370859379139634,0.458698117052324,13.9999999999996,-0.808504254438283,0.923695658354312,"Oldfield experiment","F","FoliarFungicide",369.02,11.81392914,86.53689672,NA,0.46,NA
"182","Solidago gigantea","Solidago gigantea",NA,NA,NA,NA,NA,NA,"Oldfield experiment","F",NA,755.98,11.96915806,61.87840822,1.082901854,0.1273,0.306905489
"183","Solidago missouriensis","Solidago missouriensis","Control - SoilDrenchFungicide",-0.0993103995035539,0.238383715644525,19.0000000000004,0.416598924280736,0.993153398843393,"Oldfield experiment","F","SoilDrenchFungicide",876.86,12.70468117,98.76975015,0.91,0.2694,NA
"184","Solidago missouriensis","Solidago missouriensis","Control - AllPesticides",-0.135786997213862,0.230814040174573,19.0000000000007,0.588296089402368,0.975213765826675,"Oldfield experiment","F","AllPesticides",876.86,12.70468117,98.76975015,0.91,0.2694,NA
"185","Solidago missouriensis","Solidago missouriensis","Control - Insecticide",-0.170718602344811,0.230814040174573,19.0000000000008,0.739636991821165,0.9443268477415,"Oldfield experiment","F","Insecticide",876.86,12.70468117,98.76975015,0.91,0.2694,NA
"186","Solidago missouriensis","Solidago missouriensis","Control - FoliarFungicide",0.0792655057398851,0.24930765732055,19.0000000000006,-0.317942523674548,0.997582168960715,"Oldfield experiment","F","FoliarFungicide",876.86,12.70468117,98.76975015,0.91,0.2694,NA
"187","Solidago nemoralis","Solidago nemoralis","Control - AllPesticides",-0.073550631086826,0.228784677500342,24.9999999999993,0.321484077913024,0.997527654859006,"Biodiversity experiment","F","AllPesticides",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"188","Solidago nemoralis","Solidago nemoralis","Control - SoilDrenchFungicide",-0.117940928973461,0.176413946527237,40.9999999999985,0.668546514009605,0.984432181832725,"Oldfield experiment","F","SoilDrenchFungicide",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"189","Solidago nemoralis","Solidago nemoralis","Control - AllPesticides",0.201325084886741,0.176413946527236,40.999999999998,-1.1412084409985,0.861176203033228,"Oldfield experiment","F","AllPesticides",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"190","Solidago nemoralis","Solidago nemoralis","Control - FoliarFungicide",-0.185509391861242,0.228784677500342,24.9999999999995,0.810847098188929,0.9248258321663,"Biodiversity experiment","F","FoliarFungicide",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"191","Solidago nemoralis","Solidago nemoralis","Control - Insecticide",0.0031332303686627,0.176413946527237,40.9999999999989,-0.0177606727265124,0.999999999729676,"Oldfield experiment","F","Insecticide",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"192","Solidago nemoralis","Solidago nemoralis","Control - Insecticide",-0.38729759543184,0.228784677500342,24.9999999999996,1.69284761402459,0.456108606938261,"Biodiversity experiment","F","Insecticide",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"193","Solidago nemoralis","Solidago nemoralis","Control - SoilDrenchFungicide",0.155669836700664,0.228784677500342,24.999999999999,-0.680420727478273,0.958883042820564,"Biodiversity experiment","F","SoilDrenchFungicide",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"194","Solidago nemoralis","Solidago nemoralis","Control - Fenced",-0.0664080726441894,0.182605783029164,40.9999999999974,0.363669055506217,0.999103246928316,"Oldfield experiment","F","Fenced",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"195","Solidago nemoralis","Solidago nemoralis","Control - FoliarFungicide",0.100962179629516,0.176413946527237,40.9999999999986,-0.572302709717614,0.99231391823097,"Oldfield experiment","F","FoliarFungicide",599.65,12.6688421,113.0155216,0.489897949,0.1447,0.44
"196","Solidago rigida","Solidago rigida","Control - SoilDrenchFungicide",0.20478350449398,0.156003640589937,77.9999999999947,-1.31268413813664,0.684201690831107,"Biodiversity experiment","F","SoilDrenchFungicide",3185.69,12.36782331,106.8108748,1.160868362,0.4925,0.248272578
"197","Solidago rigida","Solidago rigida","Control - AllPesticides",0.0775754069377814,0.151905267562732,77.9999999999979,-0.510682797130423,0.986072460353759,"Biodiversity experiment","F","AllPesticides",3185.69,12.36782331,106.8108748,1.160868362,0.4925,0.248272578
"198","Solidago rigida","Solidago rigida","Control - FoliarFungicide",0.280281873053417,0.151905267562732,77.9999999999967,-1.84510963675219,0.355640632856031,"Biodiversity experiment","F","FoliarFungicide",3185.69,12.36782331,106.8108748,1.160868362,0.4925,0.248272578
"199","Solidago rigida","Solidago rigida","Control - Insecticide",0.0242289886902697,0.153847514239083,77.9999999999955,-0.157487033899146,0.999858784827851,"Biodiversity experiment","F","Insecticide",3185.69,12.36782331,106.8108748,1.160868362,0.4925,0.248272578
"200","Solidago rigida","Solidago rigida",NA,NA,NA,NA,NA,NA,"Oldfield experiment","F",NA,3185.69,12.36782331,106.8108748,1.160868362,0.4925,0.248272578
"201","Sorghastrum nutans","Sorghastrum nutans","Control - Fenced",-0.120117681230003,0.156448661489831,42.0000000000003,0.767776982469173,0.971442049478479,"Oldfield experiment","C4","Fenced",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"202","Sorghastrum nutans","Sorghastrum nutans","Control - FoliarFungicide",-0.0108373521830337,0.195673415299168,80.0000000000034,0.0553848981807996,0.999997818165099,"Biodiversity experiment","C4","FoliarFungicide",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"203","Sorghastrum nutans","Sorghastrum nutans","Control - Insecticide",0.524177694775234,0.195673415299168,80.0000000000021,-2.67883960615606,0.0661442485448663,"Biodiversity experiment","C4","Insecticide",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"204","Sorghastrum nutans","Sorghastrum nutans","Control - AllPesticides",0.363933481281171,0.156448661489831,42,-2.32621665034077,0.206600081797901,"Oldfield experiment","C4","AllPesticides",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"205","Sorghastrum nutans","Sorghastrum nutans","Control - FoliarFungicide",-0.0329997463099233,0.156448661489831,41.9999999999998,0.210930192663031,0.99993798335386,"Oldfield experiment","C4","FoliarFungicide",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"206","Sorghastrum nutans","Sorghastrum nutans","Control - SoilDrenchFungicide",-0.011225495097817,0.156448661489831,42.0000000000003,0.0717519408022976,0.999999710547641,"Oldfield experiment","C4","SoilDrenchFungicide",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"207","Sorghastrum nutans","Sorghastrum nutans","Control - AllPesticides",0.44627368267969,0.195673415299168,80.0000000000042,-2.28070676845588,0.161932455552149,"Biodiversity experiment","C4","AllPesticides",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"208","Sorghastrum nutans","Sorghastrum nutans","Control - SoilDrenchFungicide",-0.0483000011785892,0.195673415299168,80.000000000003,0.246839874005074,0.999163164798232,"Biodiversity experiment","C4","SoilDrenchFungicide",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"209","Sorghastrum nutans","Sorghastrum nutans","Control - Insecticide",0.141550074605066,0.156448661489831,42,-0.904770122397419,0.943134802626513,"Oldfield experiment","C4","Insecticide",1393.18,12.85095579,63.77797131,1.23708092,1.6951,NA
"210","Sporobolus cryptandrus","Sporobolus cryptandrus","Control - Insecticide",-0.299810630172153,0.217028202309184,11.9999999999999,1.38143626949015,0.649727957248814,"Biodiversity experiment","C4","Insecticide",954.8,12.85275457,55.5247085,0.91,0.0957,NA
"211","Sporobolus cryptandrus","Sporobolus cryptandrus","Control - FoliarFungicide",-0.298295593383168,0.199353133294133,11.9999999999999,1.49631755696086,0.583358270189418,"Biodiversity experiment","C4","FoliarFungicide",954.8,12.85275457,55.5247085,0.91,0.0957,NA
"212","Sporobolus cryptandrus","Sporobolus cryptandrus","Control - AllPesticides",-0.191333996080859,0.217028202309185,12,0.881608906331348,0.898298707029803,"Biodiversity experiment","C4","AllPesticides",954.8,12.85275457,55.5247085,0.91,0.0957,NA
"213","Sporobolus cryptandrus","Sporobolus cryptandrus","Control - SoilDrenchFungicide",-0.13921673053979,0.248637041255508,12.0000000000001,0.559919510933717,0.978505602842819,"Biodiversity experiment","C4","SoilDrenchFungicide",954.8,12.85275457,55.5247085,0.91,0.0957,NA
"214","Symphyotrichum oolentangiense","Aster azureus","Control - Fenced",0.379095244314068,0.239865478394675,8.99999999999995,-1.5804493704188,0.434659993580925,"Oldfield experiment","F","Fenced",921.64,15.79606993,70.92294978,NA,0.17,NA
"215","Symphyotrichum oolentangiense","Aster azureus","Control - Insecticide",-0.0506111940675282,0.271981887403648,8.99999999999989,0.186082957768493,0.997541608021981,"Oldfield experiment","F","Insecticide",921.64,15.79606993,70.92294978,NA,0.17,NA
"216","Symphyotrichum oolentangiense","Aster azureus","Control - AllPesticides",0.00913868014469477,0.222072281139349,8.99999999999991,-0.0411518272240393,0.999972971427348,"Oldfield experiment","F","AllPesticides",921.64,15.79606993,70.92294978,NA,0.17,NA
"217","Tradescantia occidentalis","Tradescantia occidentalis","Control - FoliarFungicide",0.0732439426142416,0.174887451198197,28.0000000000001,-0.418806164264097,0.993192208809961,"Oldfield experiment","F","FoliarFungicide",731.23,19.44325791,61.19421028,0.34,3.1,NA
"218","Tradescantia occidentalis","Tradescantia occidentalis","Control - SoilDrenchFungicide",-0.0199389320995513,0.164651091352529,28.0000000000014,0.121098086479492,0.999948203078909,"Oldfield experiment","F","SoilDrenchFungicide",731.23,19.44325791,61.19421028,0.34,3.1,NA
"219","Tradescantia occidentalis","Tradescantia occidentalis","Control - AllPesticides",-0.0698203809865141,0.174887451198198,28.0000000000013,0.399230365061399,0.994331313823006,"Oldfield experiment","F","AllPesticides",731.23,19.44325791,61.19421028,0.34,3.1,NA
"220","Tradescantia occidentalis","Tradescantia occidentalis","Control - Fenced",0.280841233115857,0.16465109135253,28.0000000000016,-1.70567489598083,0.446845744625282,"Oldfield experiment","F","Fenced",731.23,19.44325791,61.19421028,0.34,3.1,NA
"221","Viola pedatifida","Viola pedatifida","Control - Fenced",0.348069859613331,0.183419966890532,38.0000000000014,-1.89766613479472,0.419149955065653,"Oldfield experiment","F","Fenced",1205.84,14.72956009,63.27115087,NA,NA,NA
"222","Viola pedatifida","Viola pedatifida","Control - SoilDrenchFungicide",-0.0628442212620725,0.177595619282236,37.9999999999996,0.353861325611868,0.999209611078358,"Oldfield experiment","F","SoilDrenchFungicide",1205.84,14.72956009,63.27115087,NA,NA,NA
"223","Viola pedatifida","Viola pedatifida","Control - FoliarFungicide",0.0717432052687677,0.177595619282236,37.9999999999992,-0.403969453518745,0.998503022384217,"Oldfield experiment","F","FoliarFungicide",1205.84,14.72956009,63.27115087,NA,NA,NA
"224","Viola pedatifida","Viola pedatifida","Control - AllPesticides",-0.149597667442695,0.177595619282235,37.9999999999985,0.84234998615002,0.957462627775745,"Oldfield experiment","F","AllPesticides",1205.84,14.72956009,63.27115087,NA,NA,NA
