"","Year","Plot","Subplot","Treatment","FertTrt","Species","Mass.g.m.2."
"83",2009,4,"na","SoilDrenchFungicide","n","Panicum perlongum",3.7
"84",2009,4,"na","SoilDrenchFungicide","n","Poa pratensis",18.4
"85",2009,4,"na","SoilDrenchFungicide","n","Sorghastrum nutans",25.75
"86",2009,5,"na","AllPesticides","n","Ambrosia artemisiifolia elatior",0.1
"87",2009,5,"na","AllPesticides","n","Aristida basiramea",0.05
"88",2009,5,"na","AllPesticides","n","Carex sp.",2.15
"89",2009,5,"na","AllPesticides","n","Cyperus sp.",0.65
"90",2009,5,"na","AllPesticides","n","Erigeron canadensis",0.025
"91",2009,5,"na","AllPesticides","n","Koeleria cristata",37.2
"92",2009,5,"na","AllPesticides","n","Lespedeza capitata",13.2
"93",2009,5,"na","AllPesticides","n","Miscellaneous litter",113.45
"94",2009,5,"na","AllPesticides","n","Panicum oligosanthes",0.05
"95",2009,5,"na","AllPesticides","n","Panicum perlongum",4.6
"96",2009,5,"na","AllPesticides","n","Physalis virginiana",0.05
"97",2009,5,"na","AllPesticides","n","Poa pratensis",33.35
"98",2009,5,"na","AllPesticides","n","Sorghastrum nutans",84.45
"99",2009,5,"na","AllPesticides","n","Viola pedatifida",0.35
"100",2009,6,"na","Fenced","n","Aristida basiramea",0.35
"101",2009,6,"na","Fenced","n","Carex sp.",6.25
"102",2009,6,"na","Fenced","n","Cyperus sp.",0.25
"103",2009,6,"na","Fenced","n","Koeleria cristata",22.35
"104",2009,6,"na","Fenced","n","Miscellaneous litter",103.95
"105",2009,6,"na","Fenced","n","Panicum perlongum",1.1
"106",2009,6,"na","Fenced","n","Poa pratensis",12.5
"107",2009,6,"na","Fenced","n","Sorghastrum nutans",61.35
"108",2009,7,"na","AllPesticides","n","C3 grasses",26.8
"109",2009,7,"na","AllPesticides","n","C4 grasses",99.05
"110",2009,7,"na","AllPesticides","n","Forbes",34.3
"111",2009,7,"na","AllPesticides","n","Legumes",1
"112",2009,7,"na","AllPesticides","n","Miscellaneous litter",147.95
"113",2009,7,"na","AllPesticides","n","Mosses & lichens",3.7
"114",2009,7,"na","AllPesticides","n","Sedges",4
"115",2009,8,"na","Control","n","C3 grasses",33.4
"116",2009,8,"na","Control","n","C4 grasses",34.5
"117",2009,8,"na","Control","n","Legumes",0.25
"118",2009,8,"na","Control","n","Miscellaneous litter",146.65
"119",2009,8,"na","Control","n","Sedges",2.5
"120",2009,9,"na","Insecticide","n","C3 grasses",31
"121",2009,9,"na","Insecticide","n","C4 grasses",85.05
"122",2009,9,"na","Insecticide","n","Forbes",3.5
"123",2009,9,"na","Insecticide","n","Legumes",51.4
"124",2009,9,"na","Insecticide","n","Miscellaneous litter",183.75
"125",2009,9,"na","Insecticide","n","Sedges",1.9
"126",2009,10,"na","FoliarFungicide","n","C3 grasses",51.9
"127",2009,10,"na","FoliarFungicide","n","C4 grasses",40.65
"128",2009,10,"na","FoliarFungicide","n","Fungi",0.2
"129",2009,10,"na","FoliarFungicide","n","Legumes",1.4
"130",2009,10,"na","FoliarFungicide","n","Sedges",0.85
"131",2009,11,"na","SoilDrenchFungicide","n","C3 grasses",38.3
"132",2009,11,"na","SoilDrenchFungicide","n","C4 grasses",42.45
"133",2009,11,"na","SoilDrenchFungicide","n","Forbes",1.9
"134",2009,11,"na","SoilDrenchFungicide","n","Legumes",17.6
"135",2009,11,"na","SoilDrenchFungicide","n","Miscellaneous litter",224.65
"136",2009,11,"na","SoilDrenchFungicide","n","Sedges",2.2
